Text,Label
تصاویر: موج پرشور رای‌گیری در کرمانشاه,سیاست
عکس / فخرالسادات محتشمی‌پور، همسر تاج‌زاده در انتخابات شرکت کرد,سیاست
عکس / بهزاد نبوی، فعال کهنه کار سیاسی، در انتخابات شرکت کرد,سیاست
ظریف: تمام تلاش قفس سازان نگاه داشتن ‎ما مردم در خانه است: از تکرار هدفدار پیامک‌های فریبکارانه تا دروغ‌های شاخدار / نظرسنجی‌ها و پیش‌بینی‌ها هم نمی‌توانند جای رای ما را بگیرند,سیاست
زمان رای‌گیری تا ساعت ۲۰ تمدید شد,سیاست
نیویورک‌تایمز: پیش‌بینی نتیجه انتخابات ١۴٠٣ ایران دشوار است,سیاست
مهدی کروبی رأی خود را به صندوق انداخت,سیاست
وحید حقانیان به پزشکیان رای داد,سیاست
علی باقری: کانادا تنها کشوری در دنیا بود که اجازه برگزاری انتخابات را نداد,سیاست
علی‌اکبر صالحی رای خود را به صندوق انداخت,سیاست
سخنگوی دولت: استعفا ندادم / می‌خواستم موضع‌گیری شخصی داشته باشم، ترجیح دادم حساب کاربری‌ام در شبکه ایکس شخصی بماند,سیاست
زاکانی به جلیلی رأی داد,سیاست
آذری جهرمی: فوتبال دوستان عزیز! ‏امشب دو فوتبال مهم پخش می‌شود، لطفا پیش از ۱۹:۳۰ رای بدهید / عده‌ای را که با عدم حضور شما پای صندوق‌ها خوشحال می‌شوند را ناکام بگذارید/ بیایید با هم فرمان اداره کشور را بچرخانیم,سیاست
مولوی عبدالحمید: ملت ایران امروز به بیداری رسیده؛ بهترین چیز برای یک ملت بیداری است، خودشان می‌دانند [در انتخابات]چه کار کنند,سیاست
توییت متفاوت سیدعباس عراقچی: فوتبالی‌های عزیز! اگر می‌خواهید بازی‌های امشب را با خیال راحت ببینید لطفاً زودتر و تا قبل از ساعت شش رای خود را بدهید,سیاست
آذری جهرمی در واکنش به پیامک‌های وزارت کشور: ارسال پیامک انبوه باید برای افزایش مشارکت باشد نه تلاش برای کاهش مشارکت,سیاست
همتی: امیدوارم، با حضور خوب مردم در کنار صندوق‌های رأی، شاهد تحول در زمینه تعامل با جهان و مسائل اقتصادی و معیشتی مردم باشیم / اینکه میگویند هیچ فرقی نمی کند اشتباه است، خیلی فرق می‌کند,سیاست
هیس! زارع پور مشغول کار است,سیاست
امام جمعه قم: راهکار مهم‌تر از مذاکره، خنثی‌سازی تحریم است,سیاست
صادق زیبا کلام: مسیر پیشرفت و توسعه سیاسی فقط و فقط از کانال صندوق رای است,سیاست
توجه مهم و فوری درباره آمار مشارکت؛ هنوز برای پیروزی یکی از دو کاندیدا، قطعیتی نیست / رقابت همچنان سنگین و نزدیک است؛ نه رقابت دو‌ فرد که دو راه متفاوت برای ایران,سیاست
حمیدرضا علیمی، مداح ممنوع الروضه: می‌خواهم به کسی رای دهم که بتوانم از او انتقاد کنم، نه کسی که در برابر انتقادم روضه‌ام را تعطیل کند,سیاست
امام جمعه کرج: اگر تبیین نباشد، خدمات گسترده رییس جمهور شهید توسط کسانی که دوران دولت شان، ذلت و نکبت بود زیر سوال می رود,سیاست
حاج علی اکبری، امام جمعه موقت تهران: در مناظره‌ها جفا و سیاه نمایی کردند؛ نسبت به شهید عزیز ما بی‌مهری صورت گرفت,سیاست
عکس / صادق زیباکلام در حسینیه ارشاد برای حضور در دومین مرحله انتخابات ریاست جمهوری,سیاست
رمضان زاده، سخنگو و دبیر هیات دولت اصلاحات: همراه مادرم رفتم و رای دادیم، صف بود؛ همه نگران ایران,سیاست
عباس عبدی: این انتخابات اغلب صف‌بندی‌های سیاسی کشور را تغییر خواهد داد و‌ سرآغاز تغییرات بزرگ سیاسی خواهد شد,سیاست
علی اکبر صالحی: بزودی خورشید طلوع خواهد کرد / در تاریک‌ترین شرایط باید امید به طلوع خورشید داشته باشیم,سیاست
محمد تقی کروبی: ضمن احترام به مدافعان تحریم، من قهر با صندوق را در زمانى که امکان انتخاب وجود دارد چاره کار نمى دانم / به تغییر امیدوارم,سیاست
خیابان رودکی تهران؛ کارکنان شهرداری در حال پایین کشیدن بنر پزشکیان!,سیاست
پیام مهم علی‌اکبر صالحی: اگر نسبت به ساخت آینده بی‌تفاوت باشیم، دیگران آینده را بر ما تحمیل می‌کنند / آینده ای که دیگران بر ما تحمیل می‌کنند، دلخواه ما نخواهد بود,سیاست
ظریف: عزیزانی که هنوز رای نداده اید، جمعه قبل با رای ندادن پیامی را ارسال کردید؛ می دانم که ناراضی هستید / امشب تکلیف ۸ سال آینده و شاید بیشتر مشخص می شود / نشستن در خانه یعنی رای آوردن کسی که مورد نظر شما نیست / به راه بادیه رفتن به از نشستن باطل؛ اگر مراد نیابم به قدر وسع بکوشم,سیاست
عکس / حضور عبدالجبار کاکایی پای صندوق رای؛ او در انتخابات‌های گذشته رای نداده بود,سیاست
فاطمه هاشمی رفسنجانی: مردمِ ناراحت از حاکمیت! رأی شما می‌تواند تاریخ را عوض کند,سیاست
آذری جهرمی: رای پزشکیان در بیمارستان فیروزآبادی شهرری در دور اول و امروز در مدرسه دخترانه حاوی این پیام است که سلامت و آموزش اولویت‌های دولت او خواهد بود,سیاست
آذری جهرمی: اینگونه نباشد که اگر دولت مطلوب شان نبود، هر روز یک چوبی لای چرخ بگذارند؛ ما در ۸ سال دولت روحانی تجربه این را داشتیم؛ اطرافیان جلیلی چنین دیدگاهی دارند,سیاست
ستاد انتخابات کشور: اخذ رای با کارت های ملی قدیمی«بدلیل پایان اعتبار» امکان پذیر نیست,سیاست
عکس / حسن روحانی رأی خود را به صندوق انداخت,سیاست
تصاویر: حضور مسعود پزشکیان و محمدجواد ظریف در مدرسه عاشورای قلعه‌حسن‌خان، برای شرکت در انتخابات,سیاست
سید محمد خاتمی: همه با امید در این انتخابات سرنوشت ساز شرکت کنند تا بعدا افسوس نخوریم,سیاست
عکس / شرکت محمد توسلی دبیرکل پیشین نهضت آزادی در انتخابات,سیاست
آذری جهرمی: دست همه عزیزانی که در مرحله ۱ تحریمی بودند و تصمیم گرفتند در دور ۲ رای بدند را میبوسم، گذشت بزرگی ⁧برای ایران⁩ کردید,سیاست
رئیس‌قوه قضائیه: رئیس‌جمهور رئیس شورای عالی فضای مجازی هم هست؛ او از جنبه‌های فرصتی و تهدیدی در این زمینه می‌تواند تاثیرگذار باشد,سیاست
توصیه‌های ظریف برای شرکت در انتخابات: لطفا ساعات اولیه رای خود را به صندوق بیاندازید / از نوشتن پیشوند مثل دکتر و یا شعار و... در برگ رای خودداری کنید، رای‌تان باطل می‌شود,سیاست
عکس / لاریجانی در لوت بخش آمل رأی خود را به صندوق انداخت,سیاست
آذری جهرمی: رای دادن را به لحظات پایانی نیندازیم، تمدید ساعت رای‌گیری بر عهده برگزارکنندگان انتخابات است / تخلفاتی از جنس جانبداری در فرایند تبلیغات از سوی برخی متولیان برگزاری انتخابات دیده شده,سیاست
مخبر: به مردم اطمینان می‌دهم دولت بدون هیچ گونه گرایشی انتخابات را برگزار می‌کند,سیاست
ملک حسینی، نماینده مجلس خبرگان: حرمت صندوق رای را حفظ کنیم تا آیندگان ما را هرزه‌ها و فاحشه‌های سیاسی نخوانند / از برخی از استان‌ها نامه‌ای روی برخی از صفحات مجازی برایم ارسال شد، آرزو داشتم که دروغ باشد / باید این صندوق‌ها را صیانت کرد / بدترین اتفاق بی‌اعتماد کردن مردم به صندوق‌ها است,سیاست
عکس / حضور ناطق‌نوری در صف مردمی برای شرکت در مرحله دوم انتخابات در حسینیه ارشاد,سیاست
مقام معظم رهبری پس از انداختن رای خود به صندوق: شنیدم که شوق و علاقه مردم بیشتر از قبل است / در مرحله دوم انتخابات مردم باید همتشان بیشتر باشد تا کار را تمام کنند و فردا رئیس‌جمهورمان را داشته باشیم,سیاست
دور دوم انتخابات ریاست‌جمهوری چهاردهم آغاز شد,سیاست
تهیه کننده «گاندو»: اگر پزشکیان پیروز شود، چند فصل دیگر گاندو را می‌سازم,سیاست
سخنگوی ستاد انتخابات: در انتخابات فردا احراز هویت کاملا الکترونیکی است,سیاست
دادستان کل کشور: از اعلام زودهنگام نتایج انتخابات خودداری شود,سیاست
اهمیت رای هوشمند با پیامد‌های استراتژیک,سیاست
فخرالسادات محتشمی پور: در پاسخ به کسانی که رای به پزشکیان را به سود کشور و مردم می‌دانند، به آقای پزشکیان رأی خواهم داد,سیاست
تکذیب حمایت احمدی‌نژاد از جلیلی,سیاست
مومن نسب، صاحب ایده «اعدام VPN فروش ها»: تلاش می‌کنند جلیلی را سیاه کنند برای جذب [آرا] خاکستری,سیاست
ظریف: ۱۵ تیر، یک همه پرسی برای مسیر آینده ایران است/ هیچگاه تفاوت بین اقلیت خالص‌ساز و ‎ما مردم به این روشنی نبوده/ همه امکانات از زر و زور و تزویر را بسیج کرده‌اند؛ اما ما مردم با رأی خود ‎پزشکیان را انتخاب خواهیم کرد,سیاست
مقام وزارت کشور: قانون می‌گوید مناصب و مقامات دولتی نباید از جایگاه خودشان سوء‌استفاده کنند/ منتظر پاسخ فرمانداری تهران درباره حضور «منصوری» در همایش دهیاران هستیم/ اگر سفر زاکانی با هلیکوپتر، با استفاده از اموال دولتی بوده محل شبهه و اشکال است,سیاست
سخنگوی شورای نگهبان: در تمام شعب اخذ رای، ۳ یا ۴ ناظر انتخاباتی حضور دارد/ بررسی صحت مرحله دوم انتخابات و زمان آن به گزارش‌های دریافتی بستگی دارد,سیاست
مخبر: با تمام توان از رای مردم صیانت خواهیم کرد,سیاست
حسن روحانی: به کسانی رأی ندهید که اینترنت را به طور کامل به روی شما خواهند بست و زنان و دختران را مورد اهانت قرار می‌دهند,سیاست
عبدالعلی‌زاده رئیس ستاد پزشکیان: برای رفع تحریم‌ها با ترامپ مذاکره خواهیم کرد/ او تاجر است و ما هم خوب زبان تجارت را می‌فهمیم,سیاست
پورمحمدی: با انتخاب دقیق، امید بهترشدن هست، پس چرا نیاییم؟,سیاست
درخواست رئیس جبهه اصلاحات از مخبر: اخبار نگران‌کننده‌ای به گوش می‌رسد؛ از رأی مردم که به گفته رهبری حق الناس⁩ است، صیانت کنید / جلوی این دخالت‌های آشکار و پنهان را بگیرید,سیاست
علی ربیعی: در هیچ دوره‌ای دولت‌ها چنین آشکار در انتخابات دخالت نکردند/ تازه‌واردان کم دانش در سال‌های اخیر، برای ماندن دست و پا می‌زنند/ این رفتار‌ها بر ساختار سیاسی تاثیرگذار است,سیاست
تماشا کنید: با جلیلی به کجا می‌رویم؟,سیاست
تماشا کنید: برادران سعید/ یک جهان رادیکالیزم، یک ایران نگران,سیاست
